name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
ahn_05.nii.gz,0.402707279,6.119504452,1.083436847,0.252118647,0.762820542,0.273563206,0,0,0,0,,,0,0,0,0,,,0.13423576,2.039834817,0.361145616,0.084039549,,
ahn_09.nii.gz,0.628026426,1.866025448,0.188443825,0.457754016,0.908704877,0.479820639,0,0,0,0,,,0,0,0,0,,,0.209342142,0.622008483,0.062814608,0.152584672,,
ahn_11.nii.gz,0.067590989,58.32080841,21.34795189,0.034977578,0.036380596,0.47560975,0,0,0,0,,,0,0,0,0,,,0.02253033,19.44026947,7.115983963,0.011659193,,
ahn_12.nii.gz,0.543576479,3.741657495,0.382644773,0.373226941,0.815101624,0.407748193,0,0,0,0,,,0,0,0,0,,,0.18119216,1.247219165,0.127548258,0.12440898,,
ahn_16.nii.gz,0.210312083,65.37813568,22.91437912,0.117513269,0.122529641,0.741626799,0,0,0,0,,,0,0,0,0,,,0.070104028,21.79271189,7.638126373,0.03917109,,
ahn_21.nii.gz,0.400000006,27.02585793,6.877155304,0.25,0.481586397,0.342052311,0,0,0,0,,,0,0,0,0,,,0.133333335,9.008619308,2.292385101,0.083333333,,
ahn_29.nii.gz,0.665956318,3.31662488,0.582164526,0.499201268,0.770653486,0.586303949,0,0,0,0,,,0,0,0,0,,,0.221985439,1.105541627,0.194054842,0.166400423,,
ahn_39.nii.gz,0.294252872,87.51756287,32.59355164,0.172506735,0.192771077,0.621359229,0,0,0,0,,,0,0,0,0,,,0.098084291,29.17252096,10.86451721,0.057502245,,
ahn_48.nii.gz,0.592246294,3.31662488,0.531634688,0.420703024,0.905251324,0.440081179,0,0,0,0,,,0,0,0,0,,,0.197415431,1.105541627,0.177211563,0.140234341,,
ahn_54.nii.gz,0.366666675,17.48140907,0.342174411,0.224489793,0.86602211,0.232566759,0,0,0,0,,,0,0,0,0,,,0.122222225,5.827136358,0.114058137,0.074829931,,
ahn_64.nii.gz,0.418018013,6.480740547,0.151571631,0.264236897,0.969359338,0.266462475,0,0,0,0,,,0,0,0,0,,,0.139339338,2.160246849,0.050523877,0.088078966,,
ahn_75.nii.gz,0.668556452,2.771577358,0.788479388,0.502129078,0.908713698,0.528803051,0,0,0,0,,,0,0,0,0,,,0.222852151,0.923859119,0.262826463,0.167376359,,
ahn_77.nii.gz,0.408759117,47.04465866,26.2364006,0.25688073,0.321839094,0.560000002,0,0,0,0,,,0,0,0,0,,,0.136253039,15.68155289,8.745466868,0.08562691,,
ahn_79.nii.gz,0.030769231,16.64631844,13.07257938,0.015625,0.021052632,0.057142857,0,0,0,0,,,0,0,0,0,,,0.01025641,5.548772812,4.357526461,0.005208333,,
CAD_102.nii.gz,0.582924426,14.78753757,2.67713666,0.411357343,0.717391312,0.4909091,0,0,0,0,,,0,0,0,0,,,0.194308142,4.929179192,0.892378887,0.137119114,,
CAD_107.nii.gz,0.448484838,23.73212242,7.019819736,0.2890625,0.507621944,0.401688784,0,0,0,0,,,0,0,0,0,,,0.149494946,7.910707474,2.339939912,0.096354167,,
CAD_110.nii.gz,0.502688169,7.348469257,1.326267719,0.335727096,0.846153855,0.357552588,0,0,0,0,,,0,0,0,0,,,0.167562723,2.449489752,0.44208924,0.111909032,,
CAD_113.nii.gz,0.814366996,2.23606801,0.29617691,0.686862648,0.981568813,0.69583714,0,0,0,0,,,0,0,0,0,,,0.271455665,0.745356003,0.098725637,0.228954216,,
CAD_118.nii.gz,0.669924915,2.23606801,0.555068672,0.503674567,0.946252465,0.518508494,0,0,0,0,,,0,0,0,0,,,0.223308305,0.745356003,0.185022891,0.167891522,,
CAD_119.nii.gz,0.704203606,40.31847,7.053072929,0.543452382,0.681852102,0.728070199,0,0,0,0,,,0,0,0,0,,,0.234734535,13.43949,2.35102431,0.181150794,,
CAD_120.nii.gz,0.408304513,49.90182495,27.50459671,0.256521732,0.29207921,0.678160906,0,0,0,0,,,0,0,0,0,,,0.136101504,16.63394165,9.168198903,0.085507244,,
CAD_124.nii.gz,0.141463414,11.40175438,6.070047379,0.076115489,0.102112673,0.230158731,0,0,0,0,,,0,0,0,0,,,0.047154471,3.800584793,2.023349126,0.02537183,,
CAD_127.nii.gz,0.239999995,105.034729,37.32026291,0.13636364,0.146181822,0.670000017,0,0,0,0,,,0,0,0,0,,,0.079999998,35.01157633,12.44008764,0.045454547,,
