name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
CAD_175.nii.gz,0.5275615453720093,10.373007774353027,3.439602851867676,0.3582910895347595,0.4876798689365387,0.5745471715927124,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17585384845733643,3.457669258117676,1.1465342839558919,0.11943036317825317,,
CAD_178.nii.gz,0.5397412180900574,15.483668327331543,2.620410919189453,0.36962026357650757,0.8167831897735596,0.40303656458854675,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17991373936335245,5.161222775777181,0.8734703063964844,0.12320675452550252,,
CAD_182.nii.gz,0.43591904640197754,33.26108169555664,1.6770282983779907,0.2787061929702759,0.9086115956306458,0.2867443263530731,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14530634880065918,11.087027231852213,0.5590094327926636,0.09290206432342529,,
CAD_183.nii.gz,0.5942936539649963,19.848173141479492,2.23664927482605,0.42277228832244873,0.8989473581314087,0.44386693835258484,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.19809788465499878,6.616057713826497,0.74554975827535,0.1409240961074829,,
CAD_189.nii.gz,0.6300878524780273,4.0,0.45020684599876404,0.4599476456642151,0.9146277904510498,0.4805798828601837,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21002928415934244,1.3333333333333333,0.15006894866625467,0.1533158818880717,,
CAD_205.nii.gz,0.612075924873352,3.0,0.9424630999565125,0.4410009980201721,0.9060265421867371,0.46213963627815247,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.20402530829111734,1.0,0.31415436665217084,0.14700033267339072,,
CAD_209.nii.gz,0.7719729542732239,1.7320507764816284,0.4648215174674988,0.6286286115646362,0.995245635509491,0.6305220723152161,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.25732431809107464,0.5773502588272095,0.1549405058224996,0.2095428705215454,,
CAD_213.nii.gz,0.7300658226013184,5.417372703552246,0.7499397993087769,0.5748847723007202,0.961993932723999,0.5882452130317688,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.24335527420043945,1.805790901184082,0.24997993310292563,0.1916282574335734,,
CAD_218.nii.gz,0.7661322951316833,4.0,1.3049626350402832,0.6209192872047424,0.9803774356842041,0.6287331581115723,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2553774317105611,1.3333333333333333,0.43498754501342773,0.20697309573491415,,
CAD_219.nii.gz,0.7074757218360901,2.2360680103302,0.5211237668991089,0.5473597049713135,0.9945334792137146,0.5490114688873291,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.23582524061203003,0.7453560034434,0.17370792229970297,0.18245323499043783,,
CAD_222.nii.gz,0.4996972978115082,3.1622776985168457,0.5755234360694885,0.33306431770324707,0.9404296875,0.3402426242828369,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1665657659371694,1.054092566172282,0.19184114535649618,0.1110214392344157,,
CAD_224.nii.gz,0.7605553865432739,2.8284270763397217,0.7788721919059753,0.6136259436607361,0.9889461994171143,0.6178637146949768,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2535184621810913,0.9428090254465739,0.25962406396865845,0.20454198122024536,,
CAD_225.nii.gz,0.650037944316864,2.2360680103302,0.6654219031333923,0.4815231263637543,0.9781331419944763,0.48676303029060364,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.216679314772288,0.7453560034434,0.2218073010444641,0.1605077087879181,,
CAD_226.nii.gz,0.3895747661590576,12.33692455291748,2.869381904602051,0.2419080138206482,0.5978947281837463,0.28891149163246155,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.12985825538635254,4.112308184305827,0.9564606348673502,0.08063600460688274,,
CAD_227.nii.gz,0.6879083514213562,3.0,0.9441722631454468,0.524283766746521,1.0,0.524283766746521,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.22930278380711874,1.0,0.3147240877151489,0.17476125558217367,,
CAD_228.nii.gz,0.568601131439209,3.0,0.9882226586341858,0.39723458886146545,0.9674657583236694,0.4026128351688385,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18953371047973633,1.0,0.32940755287806195,0.1324115296204885,,
CAD_230.nii.gz,0.5745132565498352,2.2360680103302,0.34622013568878174,0.40302956104278564,0.9712746739387512,0.4078914225101471,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.19150441884994507,0.7453560034434,0.11540671189626057,0.13434318701426187,,
CAD_232.nii.gz,0.4257580637931824,8.062257766723633,0.42419663071632385,0.27045273780822754,0.9770444631576538,0.27218225598335266,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14191935459772745,2.6874192555745444,0.14139887690544128,0.09015091260274251,,
CAD_233.nii.gz,0.5690727829933167,3.0,0.7166973352432251,0.3976950943470001,0.858951985836029,0.42548128962516785,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18969092766443887,1.0,0.2388991117477417,0.13256503144900003,,
