name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
ahn_05.nii.gz,0.241312742,34.7706604,1.00391531,0.137211859,0.753012061,0.143678159,0,0,0,0,,,0,0,0,0,,,0.080437581,11.59022013,0.334638437,0.045737286,,
ahn_09.nii.gz,0.475785911,4.587966442,0.046442345,0.312151611,0.982456148,0.313901335,0,0,0,0,,,0,0,0,0,,,0.158595304,1.529322147,0.015480782,0.104050537,,
ahn_11.nii.gz,0.065359481,71.24744415,26.65881348,0.033783782,0.035389282,0.426829278,0,0,0,0,,,0,0,0,0,,,0.021786494,23.74914805,8.886271159,0.011261261,,
ahn_12.nii.gz,0.345864654,7.681145668,0.126409635,0.209090903,0.945887446,0.211622283,0,0,0,0,,,0,0,0,0,,,0.115288218,2.560381889,0.042136545,0.069696968,,
ahn_16.nii.gz,0.165508524,69.71298218,27.77312088,0.090220384,0.09534207,0.626794279,0,0,0,0,,,0,0,0,0,,,0.055169508,23.23766073,9.25770696,0.030073461,,
ahn_21.nii.gz,0.388349503,4,0.059192378,0.240963861,0.991735518,0.241448686,0,0,0,0,,,0,0,0,0,,,0.129449834,1.333333333,0.019730793,0.080321287,,
ahn_29.nii.gz,0.461971819,2.58212018,0.335134566,0.300366312,0.926553667,0.307692319,0,0,0,0,,,0,0,0,0,,,0.153990606,0.860706727,0.111711522,0.100122104,,
ahn_39.nii.gz,0.366762191,75.66150665,21.93780518,0.224561408,0.260162592,0.621359229,0,0,0,0,,,0,0,0,0,,,0.122254064,25.22050222,7.312601725,0.074853803,,
ahn_48.nii.gz,0.449465215,21.4324379,0.54586935,0.289877534,0.975737035,0.291982204,0,0,0,0,,,0,0,0,0,,,0.149821738,7.144145966,0.18195645,0.096625845,,
ahn_54.nii.gz,0.242327362,14.59451962,0.402713299,0.137868315,0.877314806,0.140578628,0,0,0,0,,,0,0,0,0,,,0.080775787,4.864839872,0.134237766,0.045956105,,
ahn_64.nii.gz,0.256000012,7.681145668,0.06185567,0.146788985,0.989690721,0.147013783,0,0,0,0,,,0,0,0,0,,,0.085333337,2.560381889,0.020618557,0.048929662,,
ahn_75.nii.gz,0.586494863,2.449489832,0.63155961,0.414922357,0.951238394,0.423939288,0,0,0,0,,,0,0,0,0,,,0.195498288,0.816496611,0.21051987,0.138307452,,
ahn_77.nii.gz,0.246987954,47.05316162,31.8327713,0.140893474,0.225274727,0.273333341,0,0,0,0,,,0,0,0,0,,,0.082329318,15.68438721,10.61092377,0.046964491,,
ahn_79.nii.gz,0.01754386,16.35207558,13.36166954,0.008849557,0.012658228,0.028571429,0,0,0,0,,,0,0,0,0,,,0.005847953,5.450691859,4.453889847,0.002949852,,
CAD_102.nii.gz,0.35479632,31.04511833,1.196440697,0.215654954,0.865384638,0.223140493,0,0,0,0,,,0,0,0,0,,,0.11826544,10.34837278,0.398813566,0.071884985,,
CAD_107.nii.gz,0.286893696,11.26724243,0.467625886,0.167469874,0.992857158,0.167671889,0,0,0,0,,,0,0,0,0,,,0.095631232,3.755747477,0.155875295,0.055823291,,
CAD_110.nii.gz,0.351724148,7.713421822,1.400916576,0.213389128,0.886100411,0.21940726,0,0,0,0,,,0,0,0,0,,,0.117241383,2.571140607,0.466972192,0.071129709,,
CAD_113.nii.gz,0.492793411,11,0.810609281,0.32695812,0.997222245,0.327256143,0,0,0,0,,,0,0,0,0,,,0.16426447,3.666666667,0.270203094,0.10898604,,
CAD_118.nii.gz,0.38039723,4.984832287,0.838009536,0.234870702,0.946294308,0.23804377,0,0,0,0,,,0,0,0,0,,,0.126799077,1.661610762,0.279336512,0.078290234,,
